energy,#photons/mAs-sr-keV
1.0,0.0
2.0,3.9136e-11
3.0,28910.0
4.0,4.3312e8
5.0,1.3908e10
6.0,6.4348e10
7.0,1.3859e11
8.0,2.1004e11
9.0,2.6591e11
10.0,3.0468e11
11.0,2.0857e11
12.0,1.9068e11
13.0,1.9591e11
14.0,2.1652e11
15.0,2.3187e11
16.0,2.4264e11
17.0,2.4959e11
18.0,2.5347e11
19.0,2.549e11
20.0,2.5443e11
21.0,2.5248e11
22.0,2.4941e11
23.0,2.455e11
24.0,2.4097e11
25.0,2.3599e11
26.0,2.3071e11
27.0,2.2522e11
28.0,2.1961e11
29.0,2.1394e11
30.0,2.0827e11
31.0,2.0263e11
32.0,1.9705e11
33.0,1.9156e11
34.0,1.8617e11
35.0,1.8089e11
36.0,1.7574e11
37.0,1.7072e11
38.0,1.6582e11
39.0,1.6106e11
40.0,1.5643e11
41.0,1.5194e11
42.0,1.4757e11
43.0,1.4334e11
44.0,1.3923e11
45.0,1.3525e11
46.0,1.314e11
47.0,1.2766e11
48.0,1.2403e11
49.0,1.2053e11
50.0,1.1712e11
51.0,1.1382e11
52.0,1.1063e11
53.0,1.0753e11
54.0,1.0452e11
55.0,1.0162e11
56.0,9.8792e10
57.0,3.0811e11
58.0,9.3403e10
59.0,4.5911e11
60.0,8.8332e10
61.0,8.5909e10
62.0,8.3558e10
63.0,8.1275e10
64.0,7.906e10
65.0,7.6908e10
66.0,7.4819e10
67.0,1.9134e11
68.0,7.0819e10
69.0,9.9999e10
70.0,6.4889e10
71.0,6.3208e10
72.0,6.1569e10
73.0,5.997e10
74.0,5.8413e10
75.0,5.6892e10
76.0,5.541e10
77.0,5.3964e10
78.0,5.2554e10
79.0,5.1178e10
80.0,4.9836e10
81.0,4.8527e10
82.0,4.7248e10
83.0,4.6001e10
84.0,4.4784e10
85.0,4.3595e10
86.0,4.2436e10
87.0,4.1303e10
88.0,4.0198e10
89.0,3.9118e10
90.0,3.8064e10
91.0,3.7034e10
92.0,3.6027e10
93.0,3.5044e10
94.0,3.4084e10
95.0,3.3145e10
96.0,3.2228e10
97.0,3.1331e10
98.0,3.0454e10
99.0,2.9597e10
100.0,2.8759e10
101.0,2.794e10
102.0,2.7138e10
103.0,2.6355e10
104.0,2.5587e10
105.0,2.4837e10
106.0,2.4103e10
107.0,2.3385e10
108.0,2.2681e10
109.0,2.1993e10
110.0,2.1319e10
111.0,2.0659e10
112.0,2.0013e10
113.0,1.938e10
114.0,1.876e10
115.0,1.8154e10
116.0,1.7559e10
117.0,1.6976e10
118.0,1.6404e10
119.0,1.5845e10
120.0,1.5297e10
121.0,1.4759e10
122.0,1.4232e10
123.0,1.3715e10
124.0,1.3208e10
125.0,1.2712e10
126.0,1.2225e10
127.0,1.1747e10
128.0,1.1278e10
129.0,1.0818e10
130.0,1.0366e10
131.0,9.9233e9
132.0,9.4886e9
133.0,9.0624e9
134.0,8.6436e9
135.0,8.2326e9
136.0,7.8291e9
137.0,7.4328e9
138.0,7.0437e9
139.0,6.6615e9
140.0,6.2863e9
141.0,5.9177e9
142.0,5.5556e9
143.0,5.1998e9
144.0,4.8502e9
145.0,4.5069e9
146.0,4.1693e9
147.0,3.8376e9
148.0,3.5116e9
149.0,3.1911e9
150.0,2.876e9
151.0,2.5664e9
152.0,2.2619e9
153.0,1.9624e9
154.0,1.668e9
155.0,1.3784e9
156.0,1.0936e9
157.0,8.1343e8
158.0,5.3784e8
159.0,2.6673e8
160.0,0.0
